id,title,year,posterURL
79,Million Dollar Baby,2004,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/mVqE0CaURUkiIXzHPOLVbTjAXFy.jpg
80,The Social Network,2010,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg
81,The Christmas Chronicles,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/5Il2EMSF2KecrUKZPuen6BZmaCP.jpg
82,Monty Python and the Holy Grail,1975,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/8AVb7tyxZRsbKJNOTJHQZl7JYWO.jpg
83,The Pixar Story,2007,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/vhK51wJybwZTRCPVUOkGpSI4auN.jpg
84,Ma Rainey's Black Bottom,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/pvtyxijaBrCSbByXLcUIDDSvc40.jpg
85,Calibre,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/gCVOQzV7Z556WnJFNeX7y8BFhyW.jpg
86,Silver Linings Playbook,2012,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg
87,Over the Moon,2020,
88,"What Happened, Miss Simone?",2015,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/zfU6mfxPns34TRwxKhp5pyBIgJt.jpg
89,Nightcrawler,2014,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/j9HrX8f7GbZQm1BrBiR40uFQZSb.jpg
90,1922,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/q4FQOiSRhTLWulHl5Vpg37FMArH.jpg
91,Paddleton,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/gtssTSvNgY8132hPRtp1DbciYJ6.jpg
92,Cargo,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/cdPSUck4tBRvRu6DFk6XciDrssn.jpg
93,Rain Man,1988,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/8L6EMburnnVx8cvQmhGgC826JNc.jpg
94,Cuba and the Cameraman,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/qaHgQmUAAsB7FzMFQZUp6MfG1r2.jpg
95,The Ritual,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/hHuJqzby593lmYmw1SzT0XYy99t.jpg
96,The Hater,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/fX3XYJZLumDtTfncHY233Cwiorj.jpg
97,The Edge of Democracy,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/mIbPkZelgguJMPOx9vvCb5oqMxI.jpg
98,22-Jul,2018,
99,Adam Sandler: 100% Fresh,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/ykIpbOWvqx3Jz6oMFss5ldIVkfU.jpg
100,Guru,2007,
101,A Twelve-Year Night,2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/k1SEABHjk34flsBQigm9ygMuUM4.jpg
102,Dumplin',2018,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/xJAB1HrFUuOf2VkWPaZ4N2DACCo.jpg
103,The Conjuring,2013,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/wVYREutTvI2tmxr6ujrHT704wGF.jpg
104,Marriage Story,2019,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/pZekG6xabTmZxjmYw10wN84Hp8d.jpg
105,My Octopus Teacher,2020,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/hvTVZb7hBC8tZAGoEhH5eiMJu2B.jpg
106,About Time,2013,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/iR1bVfURbN7r1C46WHFbwCkVve.jpg
107,Hey Arnold! The Jungle Movie,2017,https://www.themoviedb.org/t/p/w188_and_h282_bestv2/r42WcL8xjH3ThQywlSfWgoW4GOU.jpg
